epoch,train_l1,val_l1
1,0.16557850937048593,0.11026883125305176
1,0.06631519277890523,0.040722472916046776
2,0.03515527166426182,0.018735965912540755
3,0.021651175046960514,0.012601118472715219
4,0.017410549769798913,0.012170388040443262
5,0.015197862486044565,0.010847938060760499
6,0.013319728821516037,0.007989902446667353
7,0.012037487601240475,0.008055222394565742
8,0.011287281153102716,0.00714071249589324
